delay_id,shipment_id,duration_hours,reason,date
DLY-5000,SHP-1222,26.0,Customs,2026-08-07
DLY-5001,SHP-1466,12.8,Vehicle Breakdown,2026-07-10
DLY-5002,SHP-1037,60.7,Vehicle Breakdown,2026-06-27
DLY-5003,SHP-1144,6.5,Customs,2026-07-04
DLY-5004,SHP-1372,29.7,Traffic,2026-07-01
DLY-5005,SHP-1516,48.2,Vehicle Breakdown,2026-07-22
DLY-5006,SHP-1402,24.6,Customs,2026-07-05
DLY-5007,SHP-1045,45.1,Weather,2026-08-04
DLY-5008,SHP-1544,7.6,Customs,2026-07-11
DLY-5009,SHP-1350,32.5,Port Congestion,2026-06-05
DLY-5010,SHP-1442,18.4,Port Congestion,2026-08-01
DLY-5011,SHP-1356,10.5,Vehicle Breakdown,2026-07-17
DLY-5012,SHP-1418,30.4,Traffic,2026-07-21
DLY-5013,SHP-1260,3.8,Vehicle Breakdown,2026-06-21
DLY-5014,SHP-1311,44.9,Vehicle Breakdown,2026-07-11
DLY-5015,SHP-1316,22.7,Customs,2026-06-08
DLY-5016,SHP-1225,37.9,Traffic,2026-07-18
DLY-5017,SHP-1509,57.0,Traffic,2026-05-27
DLY-5018,SHP-1100,55.3,Traffic,2026-05-29
DLY-5019,SHP-1484,16.5,Weather,2026-05-13
DLY-5020,SHP-1411,71.9,Customs,2026-07-21
DLY-5021,SHP-1518,62.7,Customs,2026-06-30
DLY-5022,SHP-1429,11.7,Traffic,2026-07-05
DLY-5023,SHP-1383,33.2,Weather,2026-07-18
DLY-5024,SHP-1320,44.2,Vehicle Breakdown,2026-06-17
DLY-5025,SHP-1118,40.4,Customs,2026-06-30
DLY-5026,SHP-1426,67.6,Vehicle Breakdown,2026-05-14
DLY-5027,SHP-1495,37.2,Customs,2026-07-25
DLY-5028,SHP-1192,29.7,Traffic,2026-07-06
DLY-5029,SHP-1301,13.5,Port Congestion,2026-06-07
DLY-5030,SHP-1388,70.8,Customs,2026-06-08
DLY-5031,SHP-1079,3.7,Vehicle Breakdown,2026-08-05
DLY-5032,SHP-1194,63.0,Weather,2026-06-14
DLY-5033,SHP-1234,39.7,Customs,2026-07-12
DLY-5034,SHP-1095,7.9,Customs,2026-06-11
DLY-5035,SHP-1086,45.4,Traffic,2026-08-04
DLY-5036,SHP-1452,69.2,Port Congestion,2026-06-18
DLY-5037,SHP-1176,46.7,Vehicle Breakdown,2026-07-05
DLY-5038,SHP-1002,29.4,Traffic,2026-05-18
DLY-5039,SHP-1056,43.9,Vehicle Breakdown,2026-07-29
DLY-5040,SHP-1204,7.7,Weather,2026-07-10
DLY-5041,SHP-1196,6.5,Weather,2026-06-25
DLY-5042,SHP-1166,15.2,Customs,2026-07-05
DLY-5043,SHP-1048,49.0,Weather,2026-07-07
DLY-5044,SHP-1498,33.4,Vehicle Breakdown,2026-06-04
DLY-5045,SHP-1072,26.5,Vehicle Breakdown,2026-05-22
DLY-5046,SHP-1431,14.0,Port Congestion,2026-07-07
DLY-5047,SHP-1173,53.1,Vehicle Breakdown,2026-07-08
DLY-5048,SHP-1255,69.0,Customs,2026-05-13
DLY-5049,SHP-1505,15.2,Weather,2026-07-30
DLY-5050,SHP-1412,46.0,Customs,2026-07-10
DLY-5051,SHP-1376,38.3,Weather,2026-08-06
DLY-5052,SHP-1548,29.8,Traffic,2026-05-28
DLY-5053,SHP-1023,50.2,Customs,2026-06-13
DLY-5054,SHP-1424,62.6,Customs,2026-07-23
DLY-5055,SHP-1139,69.2,Traffic,2026-07-24
DLY-5056,SHP-1302,18.8,Customs,2026-05-27
DLY-5057,SHP-1049,63.4,Vehicle Breakdown,2026-05-21
DLY-5058,SHP-1299,63.8,Customs,2026-07-12
DLY-5059,SHP-1452,42.8,Vehicle Breakdown,2026-06-22
DLY-5060,SHP-1528,66.1,Traffic,2026-07-21
DLY-5061,SHP-1138,36.7,Port Congestion,2026-06-15
DLY-5062,SHP-1534,44.7,Customs,2026-07-14
DLY-5063,SHP-1248,15.2,Customs,2026-05-29
DLY-5064,SHP-1146,31.5,Traffic,2026-07-20
DLY-5065,SHP-1162,17.4,Traffic,2026-08-03
DLY-5066,SHP-1418,56.6,Traffic,2026-05-21
DLY-5067,SHP-1052,59.4,Traffic,2026-06-05
DLY-5068,SHP-1532,48.1,Customs,2026-05-24
DLY-5069,SHP-1381,46.7,Port Congestion,2026-07-08
DLY-5070,SHP-1336,15.1,Traffic,2026-06-17
DLY-5071,SHP-1093,41.9,Customs,2026-07-19
DLY-5072,SHP-1466,51.0,Vehicle Breakdown,2026-06-18
DLY-5073,SHP-1356,68.2,Weather,2026-07-12
DLY-5074,SHP-1464,41.7,Port Congestion,2026-06-18
DLY-5075,SHP-1298,23.9,Vehicle Breakdown,2026-07-06
DLY-5076,SHP-1099,65.3,Customs,2026-07-31
DLY-5077,SHP-1082,49.9,Port Congestion,2026-06-10
DLY-5078,SHP-1282,40.8,Customs,2026-07-31
DLY-5079,SHP-1461,69.9,Weather,2026-05-30
DLY-5080,SHP-1538,7.9,Customs,2026-06-05
DLY-5081,SHP-1540,61.7,Vehicle Breakdown,2026-07-01
DLY-5082,SHP-1324,8.3,Customs,2026-05-17
DLY-5083,SHP-1131,31.6,Vehicle Breakdown,2026-05-25
DLY-5084,SHP-1279,33.9,Vehicle Breakdown,2026-07-31
DLY-5085,SHP-1241,3.3,Vehicle Breakdown,2026-07-31
DLY-5086,SHP-1526,29.7,Vehicle Breakdown,2026-05-25
DLY-5087,SHP-1310,59.7,Customs,2026-06-14
DLY-5088,SHP-1240,19.5,Port Congestion,2026-08-02
DLY-5089,SHP-1300,30.8,Vehicle Breakdown,2026-05-26
DLY-5090,SHP-1005,35.5,Port Congestion,2026-06-27
DLY-5091,SHP-1162,65.6,Traffic,2026-06-21
DLY-5092,SHP-1546,43.3,Port Congestion,2026-06-11
DLY-5093,SHP-1300,29.9,Traffic,2026-06-03
DLY-5094,SHP-1262,66.9,Port Congestion,2026-06-27
DLY-5095,SHP-1524,32.2,Traffic,2026-07-03
DLY-5096,SHP-1247,14.8,Vehicle Breakdown,2026-07-08
DLY-5097,SHP-1486,39.0,Port Congestion,2026-05-17
DLY-5098,SHP-1527,22.4,Port Congestion,2026-06-21
DLY-5099,SHP-1388,67.3,Weather,2026-05-31
DLY-5100,SHP-1540,2.7,Vehicle Breakdown,2026-06-05
DLY-5101,SHP-1429,26.3,Weather,2026-05-19
DLY-5102,SHP-1468,64.0,Traffic,2026-06-14
DLY-5103,SHP-1497,47.7,Port Congestion,2026-07-03
DLY-5104,SHP-1261,29.3,Port Congestion,2026-07-10
DLY-5105,SHP-1529,65.6,Port Congestion,2026-05-29
DLY-5106,SHP-1105,60.4,Traffic,2026-07-02
DLY-5107,SHP-1070,64.2,Traffic,2026-08-01
DLY-5108,SHP-1264,51.8,Traffic,2026-07-27
DLY-5109,SHP-1344,45.0,Port Congestion,2026-05-25
DLY-5110,SHP-1319,20.4,Traffic,2026-05-13
DLY-5111,SHP-1149,25.5,Weather,2026-08-01
DLY-5112,SHP-1478,67.9,Port Congestion,2026-07-04
DLY-5113,SHP-1532,39.1,Customs,2026-07-23
DLY-5114,SHP-1134,32.3,Vehicle Breakdown,2026-05-20
DLY-5115,SHP-1250,63.4,Weather,2026-06-22
DLY-5116,SHP-1134,53.1,Customs,2026-07-09
DLY-5117,SHP-1011,41.4,Customs,2026-08-02
DLY-5118,SHP-1542,11.1,Port Congestion,2026-07-24
DLY-5119,SHP-1160,68.1,Customs,2026-07-11
DLY-5120,SHP-1546,5.5,Weather,2026-06-13
DLY-5121,SHP-1004,19.9,Port Congestion,2026-06-25
DLY-5122,SHP-1075,27.3,Port Congestion,2026-05-26
DLY-5123,SHP-1212,36.2,Vehicle Breakdown,2026-07-15
DLY-5124,SHP-1444,69.7,Weather,2026-06-30
DLY-5125,SHP-1178,45.1,Traffic,2026-06-24
DLY-5126,SHP-1345,1.3,Customs,2026-07-01
DLY-5127,SHP-1369,17.0,Vehicle Breakdown,2026-07-20
DLY-5128,SHP-1357,17.6,Customs,2026-08-07
DLY-5129,SHP-1028,40.3,Vehicle Breakdown,2026-08-05
DLY-5130,SHP-1420,2.1,Vehicle Breakdown,2026-08-08
DLY-5131,SHP-1257,50.2,Traffic,2026-08-06
DLY-5132,SHP-1072,27.0,Vehicle Breakdown,2026-05-24
DLY-5133,SHP-1281,13.1,Traffic,2026-07-24
DLY-5134,SHP-1501,48.3,Port Congestion,2026-06-08
DLY-5135,SHP-1367,8.1,Port Congestion,2026-06-28
DLY-5136,SHP-1465,71.4,Traffic,2026-08-07
DLY-5137,SHP-1193,57.6,Weather,2026-06-16
DLY-5138,SHP-1305,64.6,Customs,2026-07-11
DLY-5139,SHP-1496,52.1,Port Congestion,2026-07-19
DLY-5140,SHP-1072,21.4,Vehicle Breakdown,2026-06-26
DLY-5141,SHP-1088,37.1,Customs,2026-06-14
DLY-5142,SHP-1416,47.8,Vehicle Breakdown,2026-08-10
DLY-5143,SHP-1016,30.7,Traffic,2026-06-29
DLY-5144,SHP-1446,56.5,Customs,2026-08-10
DLY-5145,SHP-1411,36.4,Customs,2026-06-23
DLY-5146,SHP-1332,19.2,Customs,2026-06-26
DLY-5147,SHP-1496,15.4,Weather,2026-05-27
DLY-5148,SHP-1290,56.4,Weather,2026-07-24
DLY-5149,SHP-1183,28.3,Traffic,2026-08-07
DLY-5150,SHP-1457,68.9,Customs,2026-08-08
DLY-5151,SHP-1347,26.8,Traffic,2026-06-09
DLY-5152,SHP-1325,66.1,Customs,2026-08-10
DLY-5153,SHP-1391,19.8,Port Congestion,2026-05-16
DLY-5154,SHP-1542,63.9,Weather,2026-07-17
DLY-5155,SHP-1205,63.7,Vehicle Breakdown,2026-07-07
DLY-5156,SHP-1378,26.1,Weather,2026-05-25
DLY-5157,SHP-1451,25.7,Weather,2026-05-17
DLY-5158,SHP-1457,34.3,Customs,2026-08-09
DLY-5159,SHP-1451,43.1,Weather,2026-07-20
DLY-5160,SHP-1314,51.7,Vehicle Breakdown,2026-07-12
DLY-5161,SHP-1037,23.7,Vehicle Breakdown,2026-06-21
DLY-5162,SHP-1547,14.0,Port Congestion,2026-06-08
DLY-5163,SHP-1411,67.4,Port Congestion,2026-05-19
DLY-5164,SHP-1233,22.0,Traffic,2026-05-23
DLY-5165,SHP-1119,70.0,Traffic,2026-06-13
DLY-5166,SHP-1353,26.0,Customs,2026-06-13
DLY-5167,SHP-1352,25.5,Traffic,2026-08-08
DLY-5168,SHP-1365,4.9,Vehicle Breakdown,2026-05-20
DLY-5169,SHP-1311,20.5,Vehicle Breakdown,2026-06-27
DLY-5170,SHP-1344,39.1,Customs,2026-06-03
DLY-5171,SHP-1081,4.4,Weather,2026-05-21
DLY-5172,SHP-1407,11.2,Port Congestion,2026-08-05
DLY-5173,SHP-1358,30.4,Weather,2026-05-15
DLY-5174,SHP-1175,46.4,Customs,2026-06-26
DLY-5175,SHP-1412,37.2,Weather,2026-07-24
DLY-5176,SHP-1139,25.4,Customs,2026-07-21
DLY-5177,SHP-1477,40.0,Port Congestion,2026-08-04
DLY-5178,SHP-1040,36.3,Traffic,2026-07-27
DLY-5179,SHP-1512,41.5,Vehicle Breakdown,2026-07-23
DLY-5180,SHP-1461,20.5,Port Congestion,2026-07-29
DLY-5181,SHP-1020,49.4,Weather,2026-07-21
DLY-5182,SHP-1414,71.2,Port Congestion,2026-07-02
DLY-5183,SHP-1124,1.1,Weather,2026-08-04
DLY-5184,SHP-1086,18.8,Customs,2026-07-02
DLY-5185,SHP-1172,19.7,Port Congestion,2026-06-25
DLY-5186,SHP-1108,71.7,Traffic,2026-07-24
DLY-5187,SHP-1442,9.4,Vehicle Breakdown,2026-06-13
DLY-5188,SHP-1400,70.0,Customs,2026-07-07
DLY-5189,SHP-1053,4.7,Port Congestion,2026-07-11
DLY-5190,SHP-1269,42.9,Customs,2026-07-29
DLY-5191,SHP-1095,47.8,Weather,2026-08-01
DLY-5192,SHP-1113,61.0,Port Congestion,2026-07-01
DLY-5193,SHP-1545,24.2,Traffic,2026-07-28
DLY-5194,SHP-1034,28.7,Weather,2026-05-14
DLY-5195,SHP-1167,53.6,Port Congestion,2026-05-20
DLY-5196,SHP-1123,12.9,Vehicle Breakdown,2026-05-17
DLY-5197,SHP-1450,48.4,Weather,2026-06-07
DLY-5198,SHP-1460,71.0,Weather,2026-06-18
DLY-5199,SHP-1203,17.4,Traffic,2026-07-03
DLY-5200,SHP-1353,13.3,Port Congestion,2026-08-10
DLY-5201,SHP-1420,33.1,Traffic,2026-05-22
DLY-5202,SHP-1111,28.8,Port Congestion,2026-07-16
DLY-5203,SHP-1285,37.6,Vehicle Breakdown,2026-06-16
DLY-5204,SHP-1399,53.1,Traffic,2026-07-05
DLY-5205,SHP-1319,70.8,Customs,2026-07-18
DLY-5206,SHP-1508,29.8,Weather,2026-08-04
DLY-5207,SHP-1466,21.8,Port Congestion,2026-07-15
DLY-5208,SHP-1549,42.5,Vehicle Breakdown,2026-05-29
DLY-5209,SHP-1454,19.6,Port Congestion,2026-06-26
DLY-5210,SHP-1367,10.2,Customs,2026-07-04
DLY-5211,SHP-1146,63.2,Port Congestion,2026-07-29
DLY-5212,SHP-1302,7.0,Traffic,2026-07-30
DLY-5213,SHP-1322,35.1,Weather,2026-08-06
DLY-5214,SHP-1437,35.0,Customs,2026-07-02
DLY-5215,SHP-1280,10.2,Weather,2026-05-15
DLY-5216,SHP-1448,7.0,Port Congestion,2026-08-07
DLY-5217,SHP-1048,39.7,Customs,2026-05-30
DLY-5218,SHP-1037,15.7,Weather,2026-07-03
DLY-5219,SHP-1064,67.2,Customs,2026-05-14
DLY-5220,SHP-1086,65.0,Vehicle Breakdown,2026-05-28
DLY-5221,SHP-1545,25.3,Vehicle Breakdown,2026-05-23
DLY-5222,SHP-1422,57.3,Customs,2026-06-12
DLY-5223,SHP-1519,13.3,Vehicle Breakdown,2026-07-16
DLY-5224,SHP-1368,30.2,Customs,2026-07-07
DLY-5225,SHP-1547,70.9,Customs,2026-06-11
DLY-5226,SHP-1262,56.9,Customs,2026-07-09
DLY-5227,SHP-1336,57.2,Traffic,2026-07-21
DLY-5228,SHP-1338,26.4,Port Congestion,2026-06-29
DLY-5229,SHP-1002,22.2,Weather,2026-05-29
DLY-5230,SHP-1040,66.0,Weather,2026-06-08
DLY-5231,SHP-1161,63.8,Traffic,2026-05-17
DLY-5232,SHP-1509,35.9,Customs,2026-06-23
DLY-5233,SHP-1160,67.8,Vehicle Breakdown,2026-06-25
DLY-5234,SHP-1296,35.5,Weather,2026-06-08
DLY-5235,SHP-1329,63.5,Vehicle Breakdown,2026-05-26
DLY-5236,SHP-1279,9.6,Port Congestion,2026-06-29
DLY-5237,SHP-1050,6.7,Customs,2026-07-04
DLY-5238,SHP-1226,15.1,Traffic,2026-06-10
DLY-5239,SHP-1116,25.2,Weather,2026-05-16
DLY-5240,SHP-1283,15.1,Vehicle Breakdown,2026-06-08
DLY-5241,SHP-1041,70.0,Port Congestion,2026-07-30
DLY-5242,SHP-1432,30.8,Customs,2026-08-06
DLY-5243,SHP-1474,26.8,Port Congestion,2026-08-04
DLY-5244,SHP-1092,11.6,Weather,2026-06-25
DLY-5245,SHP-1148,71.7,Port Congestion,2026-05-13
DLY-5246,SHP-1207,4.4,Vehicle Breakdown,2026-06-09
DLY-5247,SHP-1540,56.5,Customs,2026-07-11
DLY-5248,SHP-1124,59.9,Vehicle Breakdown,2026-08-06
DLY-5249,SHP-1154,3.2,Customs,2026-06-13
DLY-5250,SHP-1040,57.2,Weather,2026-07-02
DLY-5251,SHP-1400,51.4,Port Congestion,2026-06-01
DLY-5252,SHP-1380,61.4,Weather,2026-08-09
DLY-5253,SHP-1414,42.4,Customs,2026-06-28
DLY-5254,SHP-1123,61.5,Port Congestion,2026-06-04
DLY-5255,SHP-1154,54.3,Vehicle Breakdown,2026-05-23
DLY-5256,SHP-1473,67.6,Port Congestion,2026-07-19
DLY-5257,SHP-1364,15.0,Weather,2026-08-05
DLY-5258,SHP-1482,5.5,Weather,2026-05-13
DLY-5259,SHP-1117,7.9,Port Congestion,2026-06-13
DLY-5260,SHP-1003,70.1,Vehicle Breakdown,2026-07-07
DLY-5261,SHP-1334,46.1,Weather,2026-07-28
DLY-5262,SHP-1542,57.8,Weather,2026-05-27
DLY-5263,SHP-1084,30.0,Port Congestion,2026-08-06
DLY-5264,SHP-1323,30.9,Weather,2026-05-16
DLY-5265,SHP-1366,43.7,Traffic,2026-05-23
DLY-5266,SHP-1058,59.6,Customs,2026-05-28
DLY-5267,SHP-1466,43.3,Port Congestion,2026-06-12
DLY-5268,SHP-1471,24.4,Port Congestion,2026-08-02
DLY-5269,SHP-1209,70.0,Customs,2026-07-07
