route_id,origin,destination,risk_score,avg_delivery_time_days,delay_frequency
RT-100,Chennai Port,Mumbai Hub,36.3,6.5,20
RT-101,Delhi Central,Chennai Port,81.7,1.3,41
RT-102,Pune DC,Mumbai Hub,24.7,2.1,2
RT-103,Mumbai Hub,Bangalore Facility,77.3,3.4,22
RT-104,Chennai Port,Chennai Port,77.2,1.4,44
RT-105,Hyderabad Station,Delhi Central,17.8,6.2,28
RT-106,Hyderabad Station,Bangalore Facility,92.5,9.6,31
RT-107,Chennai Port,Delhi Central,75.6,9.1,47
RT-108,Delhi Central,Mumbai Hub,56.5,8.2,5
RT-109,Chennai Port,Delhi Central,25.1,3.2,1
RT-110,Pune DC,Chennai Port,46.9,5.9,0
RT-111,Delhi Central,Bangalore Facility,80.0,2.1,31
RT-112,Hyderabad Station,Delhi Central,11.0,7.5,16
RT-113,Pune DC,Hyderabad Station,15.8,5.2,40
RT-114,Chennai Port,Hyderabad Station,75.9,4.2,0
RT-115,Bangalore Facility,Chennai Port,17.6,1.8,37
RT-116,Bangalore Facility,Hyderabad Station,27.0,4.5,9
RT-117,Bangalore Facility,Hyderabad Station,54.8,1.4,37
RT-118,Pune DC,Hyderabad Station,80.8,8.1,49
RT-119,Mumbai Hub,Bangalore Facility,83.2,3.6,15
RT-120,Delhi Central,Chennai Port,82.0,7.1,2
RT-121,Pune DC,Hyderabad Station,18.7,8.5,36
RT-122,Chennai Port,Pune DC,41.3,2.6,33
RT-123,Bangalore Facility,Delhi Central,61.3,8.5,46
RT-124,Delhi Central,Pune DC,37.0,2.1,44
RT-125,Hyderabad Station,Mumbai Hub,12.8,1.1,44
RT-126,Hyderabad Station,Pune DC,93.7,1.8,39
RT-127,Delhi Central,Mumbai Hub,69.6,3.3,26
RT-128,Pune DC,Pune DC,44.4,7.2,45
RT-129,Bangalore Facility,Pune DC,57.9,6.4,6
RT-130,Mumbai Hub,Bangalore Facility,69.8,2.1,7
RT-131,Delhi Central,Pune DC,73.9,6.7,4
RT-132,Chennai Port,Pune DC,24.1,1.5,35
RT-133,Chennai Port,Chennai Port,38.6,3.3,35
RT-134,Bangalore Facility,Delhi Central,24.8,5.9,37
RT-135,Chennai Port,Chennai Port,42.2,10.0,29
RT-136,Delhi Central,Chennai Port,27.6,3.6,4
RT-137,Delhi Central,Delhi Central,39.3,2.5,42
RT-138,Bangalore Facility,Bangalore Facility,25.5,2.7,37
RT-139,Bangalore Facility,Chennai Port,68.4,9.0,10
RT-140,Delhi Central,Bangalore Facility,70.6,9.0,11
RT-141,Delhi Central,Mumbai Hub,61.9,5.7,22
RT-142,Bangalore Facility,Pune DC,22.0,2.1,25
RT-143,Mumbai Hub,Bangalore Facility,44.2,3.4,15
RT-144,Bangalore Facility,Bangalore Facility,20.4,2.4,34
RT-145,Pune DC,Pune DC,14.3,7.8,19
RT-146,Chennai Port,Delhi Central,83.1,5.9,3
RT-147,Chennai Port,Delhi Central,83.3,1.5,24
RT-148,Mumbai Hub,Delhi Central,34.1,1.5,49
RT-149,Bangalore Facility,Mumbai Hub,51.4,1.2,21
RT-150,Bangalore Facility,Pune DC,37.9,5.8,32
RT-151,Chennai Port,Delhi Central,13.4,6.5,49
RT-152,Delhi Central,Pune DC,23.8,5.5,45
RT-153,Hyderabad Station,Delhi Central,29.7,4.8,19
RT-154,Hyderabad Station,Pune DC,93.4,1.1,16
RT-155,Mumbai Hub,Bangalore Facility,25.1,8.6,8
RT-156,Bangalore Facility,Bangalore Facility,13.4,3.7,17
RT-157,Hyderabad Station,Hyderabad Station,84.4,3.6,2
RT-158,Delhi Central,Bangalore Facility,89.8,6.7,43
RT-159,Mumbai Hub,Delhi Central,23.2,3.5,7
