shipment_id,current_location,destination,status,delay_risk,eta
SHP-1000,Delhi Central,Mumbai Hub,Delivered,97.0,2026-08-23
SHP-1001,Delhi Central,Chennai Port,Delivered,81.0,2026-08-11
SHP-1002,Chennai Port,Pune DC,Pending,3.8,2026-08-22
SHP-1003,Hyderabad Station,Bangalore Facility,In Transit,93.2,2026-08-21
SHP-1004,Delhi Central,Mumbai Hub,Delivered,91.3,2026-08-18
SHP-1005,Hyderabad Station,Delhi Central,In Transit,48.7,2026-08-14
SHP-1006,Mumbai Hub,Pune DC,Delayed,64.2,2026-08-12
SHP-1007,Mumbai Hub,Chennai Port,Delivered,67.5,2026-08-22
SHP-1008,Hyderabad Station,Chennai Port,In Transit,70.1,2026-08-21
SHP-1009,Delhi Central,Pune DC,Delivered,36.7,2026-08-13
SHP-1010,Bangalore Facility,Bangalore Facility,Delivered,17.1,2026-08-11
SHP-1011,Mumbai Hub,Chennai Port,Delivered,58.7,2026-08-17
SHP-1012,Chennai Port,Bangalore Facility,In Transit,15.7,2026-08-11
SHP-1013,Mumbai Hub,Bangalore Facility,In Transit,48.7,2026-08-13
SHP-1014,Mumbai Hub,Pune DC,In Transit,94.9,2026-08-20
SHP-1015,Hyderabad Station,Delhi Central,Delivered,48.2,2026-08-13
SHP-1016,Pune DC,Mumbai Hub,In Transit,88.8,2026-08-17
SHP-1017,Delhi Central,Chennai Port,Delivered,90.3,2026-08-19
SHP-1018,Chennai Port,Hyderabad Station,Delayed,10.7,2026-08-18
SHP-1019,Mumbai Hub,Mumbai Hub,Delivered,68.6,2026-08-20
SHP-1020,Chennai Port,Chennai Port,Delivered,20.1,2026-08-22
SHP-1021,Hyderabad Station,Pune DC,Pending,3.6,2026-08-16
SHP-1022,Delhi Central,Mumbai Hub,In Transit,37.2,2026-08-16
SHP-1023,Delhi Central,Bangalore Facility,In Transit,43.7,2026-08-12
SHP-1024,Hyderabad Station,Hyderabad Station,Delayed,52.9,2026-08-23
SHP-1025,Mumbai Hub,Delhi Central,In Transit,33.6,2026-08-23
SHP-1026,Chennai Port,Mumbai Hub,Delayed,17.4,2026-08-23
SHP-1027,Pune DC,Delhi Central,In Transit,32.4,2026-08-12
SHP-1028,Pune DC,Bangalore Facility,In Transit,11.9,2026-08-17
SHP-1029,Pune DC,Hyderabad Station,In Transit,92.4,2026-08-20
SHP-1030,Hyderabad Station,Hyderabad Station,Delayed,52.9,2026-08-19
SHP-1031,Bangalore Facility,Delhi Central,Delivered,69.2,2026-08-17
SHP-1032,Pune DC,Pune DC,Delayed,17.2,2026-08-17
SHP-1033,Pune DC,Hyderabad Station,In Transit,67.8,2026-08-22
SHP-1034,Delhi Central,Bangalore Facility,Delivered,0.7,2026-08-18
SHP-1035,Hyderabad Station,Mumbai Hub,In Transit,96.2,2026-08-14
SHP-1036,Mumbai Hub,Bangalore Facility,Delivered,9.2,2026-08-18
SHP-1037,Delhi Central,Delhi Central,In Transit,49.7,2026-08-15
SHP-1038,Mumbai Hub,Chennai Port,Delivered,30.8,2026-08-22
SHP-1039,Bangalore Facility,Bangalore Facility,In Transit,21.4,2026-08-12
SHP-1040,Mumbai Hub,Mumbai Hub,Delivered,63.2,2026-08-18
SHP-1041,Delhi Central,Pune DC,In Transit,12.0,2026-08-21
SHP-1042,Chennai Port,Delhi Central,Delivered,60.2,2026-08-15
SHP-1043,Mumbai Hub,Delhi Central,In Transit,30.1,2026-08-23
SHP-1044,Chennai Port,Hyderabad Station,In Transit,16.2,2026-08-17
SHP-1045,Delhi Central,Bangalore Facility,Delivered,97.4,2026-08-21
SHP-1046,Bangalore Facility,Hyderabad Station,Delivered,39.8,2026-08-13
SHP-1047,Pune DC,Bangalore Facility,Delivered,77.5,2026-08-17
SHP-1048,Hyderabad Station,Pune DC,Delayed,42.6,2026-08-20
SHP-1049,Chennai Port,Mumbai Hub,Delayed,85.8,2026-08-17
SHP-1050,Mumbai Hub,Mumbai Hub,In Transit,88.1,2026-08-17
SHP-1051,Hyderabad Station,Hyderabad Station,In Transit,38.7,2026-08-13
SHP-1052,Delhi Central,Mumbai Hub,Delivered,28.8,2026-08-20
SHP-1053,Chennai Port,Delhi Central,Delivered,18.6,2026-08-22
SHP-1054,Hyderabad Station,Chennai Port,Delivered,76.1,2026-08-22
SHP-1055,Chennai Port,Bangalore Facility,Pending,43.7,2026-08-11
SHP-1056,Bangalore Facility,Mumbai Hub,Delivered,24.8,2026-08-19
SHP-1057,Delhi Central,Mumbai Hub,In Transit,34.5,2026-08-21
SHP-1058,Hyderabad Station,Delhi Central,In Transit,95.9,2026-08-22
SHP-1059,Bangalore Facility,Bangalore Facility,In Transit,14.3,2026-08-13
SHP-1060,Hyderabad Station,Hyderabad Station,Delivered,36.0,2026-08-11
SHP-1061,Hyderabad Station,Chennai Port,Delivered,22.9,2026-08-16
SHP-1062,Chennai Port,Hyderabad Station,Delayed,16.0,2026-08-11
SHP-1063,Chennai Port,Delhi Central,In Transit,84.2,2026-08-17
SHP-1064,Delhi Central,Mumbai Hub,Delivered,32.7,2026-08-17
SHP-1065,Mumbai Hub,Chennai Port,Delivered,63.3,2026-08-16
SHP-1066,Pune DC,Bangalore Facility,Delivered,75.8,2026-08-18
SHP-1067,Pune DC,Bangalore Facility,In Transit,75.6,2026-08-21
SHP-1068,Delhi Central,Hyderabad Station,In Transit,79.0,2026-08-12
SHP-1069,Pune DC,Delhi Central,Delivered,85.8,2026-08-13
SHP-1070,Mumbai Hub,Mumbai Hub,Delivered,43.0,2026-08-18
SHP-1071,Pune DC,Delhi Central,Pending,48.6,2026-08-14
SHP-1072,Hyderabad Station,Chennai Port,Delivered,16.0,2026-08-18
SHP-1073,Pune DC,Mumbai Hub,In Transit,17.9,2026-08-15
SHP-1074,Delhi Central,Mumbai Hub,In Transit,25.6,2026-08-23
SHP-1075,Bangalore Facility,Pune DC,Delivered,29.7,2026-08-12
SHP-1076,Mumbai Hub,Pune DC,In Transit,13.9,2026-08-21
SHP-1077,Chennai Port,Mumbai Hub,Delivered,93.7,2026-08-23
SHP-1078,Pune DC,Delhi Central,Delivered,85.7,2026-08-16
SHP-1079,Pune DC,Bangalore Facility,Delivered,15.7,2026-08-14
SHP-1080,Hyderabad Station,Chennai Port,Delayed,65.2,2026-08-13
SHP-1081,Chennai Port,Hyderabad Station,Delivered,56.0,2026-08-15
SHP-1082,Delhi Central,Delhi Central,Delivered,61.4,2026-08-11
SHP-1083,Chennai Port,Bangalore Facility,In Transit,46.7,2026-08-22
SHP-1084,Hyderabad Station,Pune DC,Delayed,59.6,2026-08-20
SHP-1085,Delhi Central,Chennai Port,In Transit,41.9,2026-08-18
SHP-1086,Delhi Central,Delhi Central,In Transit,83.2,2026-08-14
SHP-1087,Hyderabad Station,Bangalore Facility,In Transit,84.4,2026-08-14
SHP-1088,Pune DC,Chennai Port,Delivered,80.9,2026-08-11
SHP-1089,Pune DC,Bangalore Facility,Delayed,43.9,2026-08-11
SHP-1090,Chennai Port,Hyderabad Station,Delivered,34.0,2026-08-20
SHP-1091,Mumbai Hub,Pune DC,Delivered,8.3,2026-08-13
SHP-1092,Bangalore Facility,Mumbai Hub,Delivered,87.8,2026-08-20
SHP-1093,Chennai Port,Delhi Central,Delivered,22.5,2026-08-20
SHP-1094,Pune DC,Bangalore Facility,In Transit,16.6,2026-08-23
SHP-1095,Mumbai Hub,Delhi Central,Delayed,91.1,2026-08-17
SHP-1096,Chennai Port,Pune DC,Delivered,12.5,2026-08-15
SHP-1097,Hyderabad Station,Hyderabad Station,Delayed,19.4,2026-08-11
SHP-1098,Chennai Port,Hyderabad Station,In Transit,44.3,2026-08-19
SHP-1099,Mumbai Hub,Pune DC,In Transit,50.9,2026-08-15
SHP-1100,Delhi Central,Bangalore Facility,Delivered,13.1,2026-08-23
SHP-1101,Bangalore Facility,Delhi Central,In Transit,50.2,2026-08-22
SHP-1102,Chennai Port,Pune DC,Delivered,49.0,2026-08-11
SHP-1103,Chennai Port,Pune DC,In Transit,73.4,2026-08-12
SHP-1104,Pune DC,Mumbai Hub,Delivered,40.4,2026-08-22
SHP-1105,Bangalore Facility,Hyderabad Station,Pending,96.1,2026-08-12
SHP-1106,Delhi Central,Bangalore Facility,Delivered,12.9,2026-08-21
SHP-1107,Pune DC,Delhi Central,Delivered,62.8,2026-08-13
SHP-1108,Chennai Port,Mumbai Hub,In Transit,26.5,2026-08-14
SHP-1109,Pune DC,Hyderabad Station,Delivered,48.6,2026-08-12
SHP-1110,Bangalore Facility,Bangalore Facility,Pending,92.5,2026-08-11
SHP-1111,Chennai Port,Bangalore Facility,Delayed,38.6,2026-08-23
SHP-1112,Chennai Port,Pune DC,In Transit,61.7,2026-08-21
SHP-1113,Bangalore Facility,Bangalore Facility,Delivered,39.3,2026-08-22
SHP-1114,Chennai Port,Hyderabad Station,Delivered,84.8,2026-08-21
SHP-1115,Bangalore Facility,Pune DC,In Transit,28.8,2026-08-23
SHP-1116,Hyderabad Station,Chennai Port,Pending,71.9,2026-08-23
SHP-1117,Delhi Central,Pune DC,In Transit,31.9,2026-08-23
SHP-1118,Pune DC,Chennai Port,In Transit,55.0,2026-08-18
SHP-1119,Bangalore Facility,Bangalore Facility,Delivered,89.4,2026-08-19
SHP-1120,Mumbai Hub,Hyderabad Station,Delayed,19.2,2026-08-12
SHP-1121,Pune DC,Mumbai Hub,In Transit,3.5,2026-08-17
SHP-1122,Delhi Central,Chennai Port,Pending,30.6,2026-08-22
SHP-1123,Pune DC,Hyderabad Station,In Transit,4.5,2026-08-20
SHP-1124,Hyderabad Station,Chennai Port,Delivered,76.4,2026-08-23
SHP-1125,Pune DC,Mumbai Hub,Delayed,15.7,2026-08-19
SHP-1126,Mumbai Hub,Pune DC,Delayed,67.5,2026-08-13
SHP-1127,Bangalore Facility,Bangalore Facility,Delivered,58.9,2026-08-21
SHP-1128,Chennai Port,Hyderabad Station,Delivered,80.7,2026-08-11
SHP-1129,Bangalore Facility,Pune DC,Delayed,73.6,2026-08-16
SHP-1130,Pune DC,Hyderabad Station,Delayed,37.4,2026-08-20
SHP-1131,Pune DC,Pune DC,In Transit,13.6,2026-08-12
SHP-1132,Mumbai Hub,Hyderabad Station,Delivered,40.9,2026-08-15
SHP-1133,Pune DC,Bangalore Facility,In Transit,56.2,2026-08-13
SHP-1134,Hyderabad Station,Delhi Central,Pending,87.4,2026-08-14
SHP-1135,Pune DC,Mumbai Hub,In Transit,72.7,2026-08-12
SHP-1136,Chennai Port,Mumbai Hub,Pending,0.2,2026-08-17
