warehouse_id,name,capacity_utilization,status,processing_time_hours
WH-10,Warehouse A,45.4,Normal,10.3
WH-11,Warehouse B,69.3,Normal,18.9
WH-12,Warehouse C,59.9,Critical,20.3
WH-13,Warehouse D,42.4,Normal,8.6
WH-14,Warehouse E,74.1,Normal,13.1
WH-15,Warehouse F,90.9,Critical,13.6
WH-16,Warehouse G,92.0,Normal,21.7
WH-17,Warehouse H,64.5,Normal,19.5
WH-18,Warehouse I,54.2,Critical,14.2
WH-19,Warehouse J,89.1,Critical,13.9
WH-20,Warehouse K,78.3,Normal,10.9
WH-21,Warehouse L,64.8,Critical,17.1
WH-22,Warehouse M,90.3,Normal,15.2
WH-23,Warehouse N,48.4,Normal,14.6
WH-24,Warehouse O,40.6,Normal,11.3
WH-25,Warehouse P,52.3,Normal,10.3
WH-26,Warehouse Q,49.1,Critical,15.4
WH-27,Warehouse R,94.5,Normal,9.5
